TH,TPR,FPR,AggRule
0.1,0.9990448901623686,0.07782114484493954,Hits
0.1,0.9995224450811844,0.419055924350555,Avg
0.10826367338740543,0.9990448901623686,0.07050129804583523,Hits
0.10826367338740543,0.9995224450811844,0.39360268069623994,Avg
0.11721022975334802,0.9990448901623686,0.06326450427609018,Hits
0.11721022975334802,0.9995224450811844,0.3664600836645187,Avg
0.12689610031679222,0.9990448901623686,0.05611966207456428,Hits
0.12689610031679222,0.9995224450811844,0.33808309957556254,Avg
0.1373823795883263,0.9990448901623686,0.049170587727956606,Hits
0.1373823795883263,0.9995224450811844,0.30846648057312065,Avg
0.14873521072935114,0.998567335243553,0.04242047558355021,Hits
0.14873521072935114,0.9995224450811844,0.2780825337197581,Avg
0.16102620275609392,0.9980897803247374,0.03605345694544648,Hits
0.16102620275609392,0.9995224450811844,0.2468792367882937,Avg
0.17433288221999882,0.9980897803247374,0.030167187573441466,Hits
0.17433288221999882,0.9995224450811844,0.21554314627691978,Avg
0.18873918221350972,0.9980897803247374,0.024675648258555945,Hits
0.18873918221350972,0.9995224450811844,0.18459129011016392,Avg
0.20433597178569418,0.9980897803247374,0.01973695919130079,Hits
0.20433597178569418,0.9995224450811844,0.15446015302748828,Avg
0.2212216291070449,0.9980897803247374,0.015364354096134339,Hits
0.2212216291070449,0.9990448901623686,0.12569277406701101,Avg
0.23950266199874853,0.997134670487106,0.011605748182302313,Hits
0.23950266199874853,0.9990448901623686,0.09936496376013007,Avg
0.2592943797404667,0.9966571155682904,0.008553549353350027,Hits
0.2592943797404667,0.9990448901623686,0.07554745408239864,Avg
0.2807216203941177,0.995702005730659,0.006006513730445461,Hits
0.2807216203941177,0.9990448901623686,0.0551287299138302,Avg
0.30391953823131973,0.9928366762177651,0.0040513450255570595,Hits
0.30391953823131973,0.9990448901623686,0.03814780792481054,Avg
0.32903445623126687,0.9885386819484241,0.0025999705207379307,Hits
0.32903445623126687,0.998567335243553,0.024954012807507264,Avg
0.3562247890262442,0.9828080229226361,0.001537621881461423,Hits
0.3562247890262442,0.9980897803247374,0.015151701834148577,Avg
0.38566204211634714,0.9732569245463228,0.0008599639221291146,Hits
0.38566204211634714,0.9976122254059216,0.008449048563661745,Avg
0.41753189365604015,0.9522445081184336,0.0004396790867452385,Hits
0.41753189365604015,0.9966571155682904,0.004209693383731007,Avg
0.4520353656360243,0.9221585482330468,0.00020649173508274044,Hits
0.4520353656360243,0.9933142311365807,0.0018620762983538616,Avg
0.4893900918477494,0.8600764087870105,7.917417908697341e-05,Hits
0.4893900918477494,0.9837631327602674,0.0007027564022705421,Avg
0.5298316906283709,0.7574021012416428,2.7608287232057008e-05,Hits
0.5298316906283709,0.9522445081184336,0.00020557906443044102,Avg
0.5736152510448679,0.6141356255969437,8.214035870694647e-06,Hits
0.5736152510448679,0.8839541547277937,3.970117337502413e-05,Avg
0.6210169418915616,0.38204393505253104,4.5633532614970265e-07,Hits
0.6210169418915616,0.7148997134670487,5.932359239946134e-06,Avg
0.6723357536499337,0.15234001910219674,0.0,Hits
0.6723357536499337,0.43123209169054444,2.2816766307485133e-07,Avg
0.727895384398315,0.02387774594078319,0.0,Hits
0.727895384398315,0.12607449856733524,0.0,Avg
0.7880462815669912,0.0004775549188156638,0.0,Hits
0.7880462815669912,0.0066857688634192934,0.0,Avg
0.8531678524172808,0.0,0.0,Hits
0.8531678524172808,0.0,0.0,Avg
0.9236708571873861,0.0,0.0,Hits
0.9236708571873861,0.0,0.0,Avg
1.0,0.0,0.0,Hits
1.0,0.0,0.0,Avg
